Sample Data,,,Brands,Frequency,Relative Frequency,,Percent frquency,,Cumulative Frequency
Coke,Coke,,Coke,19,0.38,,38%,,38%
Diet Coke,Sprite,,Sprite,5,0.1,,10%,,
Pepsi,Pepsi,,Pepsi,13,0.26,,26%,,
Diet Coke,Coke,,Diet Coke,8,0.16,,16%,,
Coke,Pepsi,,Dr. Pepper,5,0.1,,10%,,
Coke,Sprite,,,50,,,,,
Dr. Pepper,Dr. Pepper,,,,,,,,
Diet Coke,Pepsi,,,,,,,,
Pepsi,Diet Coke,,,,,,,,
Pepsi,Pepsi,,,,,,,,
Coke,Coke,,,,,,,,
Dr. Pepper,Coke,,,,,,,,
Sprite,Diet Coke,,,,,,,,
Coke,Pepsi,,,,,,,,
Diet Coke,Pepsi,,,,,,,,
Coke,Pepsi,,,,,,,,
Coke,Coke,,,,,,,,
Diet Coke,Dr. Pepper,,,,,,,,
Coke,Sprite,,,,,,,,
Coke,Coke,,,,,,,,
Coke,Coke,,,,,,,,
Sprite,Pepsi,,,,,,,,
Coke,Dr. Pepper,,,,,,,,
Coke,Pepsi,,,,,,,,
Diet Coke,Pepsi,,,,,,,,
